Iso Code   Language Name
abi   Abidji
ace   Aceh
aca   Achagua
acn   Achang
acr   Achi
ach   Acholi
acu   Achuar-Shiwiar
guq   Aché
ade   Adele
adj   Adioukrou
agd   Agarabi
agx   Aghul
agn   Agutaynen
aha   Ahanta
aka   Akan
knj   Akateko
ake   Akawaio
aeu   Akeu
ahk   Akha
bss   Akoose
alj   Alangan
sqi   Albanian
alt   Altai, Southern
alp   Alune
alz   Alur
kab   Amazigh
amk   Ambai
mmg   Ambrym, North
amh   Amharic
ami   Amis
azg   Amuzgo, San Pedro Amuzgos
agg   Angor
boj   Anjam
cko   Anufo
any   Anyin
arl   Arabela
ara   Arabic
atq   Aralle-Tabulahan
luc   Aringa
hyw   Armenian, Western
apr   Arop-Lokep
aia   Arosi
msy   Aruamu
cni   Asháninka
cjo   Ashéninka, Pajonal
cpu   Ashéninka, Pichis
cpb   Ashéninka, Ucayali-Yurúa
asm   Assamese
asa   Asu
teo   Ateso
ati   Attié
djk   Aukan
ava   Avar
avn   Avatime
avu   Avokaya
awb   Awa
kwi   Awa-Cuaiquer
awa   Awadhi
agr   Awajún
agu   Awakateko
ayr   Aymara, Central
ayo   Ayoreo
abp   Ayta, Abellen
blx   Ayta, Mag-Indi
sgb   Ayta, Mag-antsi
azj-script_cyrillic   Azerbaijani, North
azj-script_latin   Azerbaijani, North
azb   Azerbaijani, South
bba   Baatonum
bhz   Bada
bvc   Baelelea
bfy   Bagheli
bgq   Bagri
bdq   Bahnar
bdh   Baka
bqi   Bakhtiâri
bjw   Bakwé
blz   Balantak
ban   Bali
bcc-script_latin   Balochi, Southern
bcc-script_arabic   Balochi, Southern
bam   Bamanankan
ptu   Bambam
bcw   Bana
bqj   Bandial
bno   Bantoanon
bbb   Barai
bfa   Bari
bjz   Baruga
bak   Bashkort
eus   Basque
bsq   Bassa
akb   Batak Angkola
btd   Batak Dairi
btx   Batak Karo
bts   Batak Simalungun
bbc   Batak Toba
bvz   Bauzi
bjv   Bedjond
bep   Behoa
bkv   Bekwarra
bzj   Belize English Creole
bem   Bemba
bng   Benga
ben   Bengali
bom   Berom
btt   Bete-Bendi
bha   Bharia
bgw   Bhatri
bht   Bhattiyali
beh   Biali
sne   Bidayuh, Bau
ubl   Bikol, Buhi’non
bcl   Bikol, Central
bim   Bimoba
bkd   Binukid
bjr   Binumarien
bfo   Birifor, Malba
biv   Birifor, Southern
bib   Bisa
bis   Bislama
bzi   Bisu
bqp   Bisã
